poi_id,is_visible,num_visible,cellsite_1,lat_1,lon_1,radio_type_1,ground_distance_1,antenna_los_distance_1,azimuth_angle_1,los_geometry_1,cellsite_2,lat_2,lon_2,radio_type_2,ground_distance_2,antenna_los_distance_2,azimuth_angle_2,los_geometry_2,cellsite_3,lat_3,lon_3,radio_type_3,ground_distance_3,antenna_los_distance_3,azimuth_angle_3,los_geometry_3
386b10fd-d902-4f9a-aa89-70120f982487,True,3,23131082-f9bf-4ab5-91b3-23111c4bf241,38.96964746065793,1.437323756024553,4G,3784,3787,304.62,"LINESTRING (1.473349019 38.95031751, 1.437323756024553 38.96964746065793)",0222b6a7-350c-46b2-95fd-a3e1c61ee847,38.97666489861615,1.4383532678871531,4G,4212,4214,314.09,"LINESTRING (1.473349019 38.95031751, 1.4383532678871531 38.97666489861615)",9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,38.932825348001465,1.4304547494166149,2G,4189,4193,242.35,"LINESTRING (1.473349019 38.95031751, 1.4304547494166149 38.932825348001465)"
1332292e-3d0f-4aa3-bf72-1a22752dea15,True,3,d06017e7-a685-4ad1-be7e-2222dabec53e,39.06033953845152,1.3498006139914798,4G,128,129,329.57,"LINESTRING (1.350554245 39.05934325, 1.3498006139914798 39.06033953845152)",2fb90cc1-38d3-4aa7-951c-b9a823a63822,39.01200672696945,1.3658495004119788,4G,5427,5428,165.91,"LINESTRING (1.350554245 39.05934325, 1.3658495004119788 39.01200672696945)",6bcfa4f5-5adb-4667-9789-73b22a9a1af9,38.9545135868109,1.3455941961097526,4G,11664,11667,182.11,"LINESTRING (1.350554245 39.05934325, 1.3455941961097526 38.9545135868109)"
79f29263-c10b-4508-bd87-ad42c04be0d4,True,3,a4602e2e-5ce7-4aec-904e-dd17dfc266df,39.04741599497015,1.5059844314786863,4G,7015,7016,14.36,"LINESTRING (1.485837838 38.98630403, 1.5059844314786863 39.04741599497015)",a86e67e6-a035-4c91-a5e0-38ff2e106b7c,39.04991742022339,1.505550738571431,4G,7276,7277,13.53,"LINESTRING (1.485837838 38.98630403, 1.505550738571431 39.04991742022339)",40e67918-f75f-4a0f-970b-424a85a7859a,39.06199115244186,1.512763963981112,3G,8732,8736,15.44,"LINESTRING (1.485837838 38.98630403, 1.512763963981112 39.06199115244186)"
a877cb39-2290-48c3-b6a6-0f4feaf0146a,True,3,4ea23bde-9f03-4e96-871d-59276323e1c2,38.98788510647062,1.546099731137311,3G,1254,1256,122.15,"LINESTRING (1.533819114 38.99388465, 1.546099731137311 38.98788510647062)",ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,39.00755451913546,1.5412244794154777,4G,1649,1650,22.83,"LINESTRING (1.533819114 38.99388465, 1.5412244794154777 39.00755451913546)",0334328f-7fcf-4c40-8570-8a2587488d22,39.010938799772056,1.5348033104062826,2G,1898,1898,2.57,"LINESTRING (1.533819114 38.99388465, 1.5348033104062826 39.010938799772056)"
1f8a8a01-714b-40f2-b55d-fbcb916dd75f,True,1,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,38.88311876253912,1.3922060476891158,4G,5802,5803,105.45,"LINESTRING (1.327597846 38.89703316, 1.3922060476891158 38.88311876253912)",,,,,,,,,,,,,,,,
2b2ca058-e2b5-4ce2-a075-c3075f9027ef,False,0,,,,,,,,,,,,,,,,,,,,,,,,
40a28229-3dbf-4f08-a516-3f46680a2e55,True,2,8a4cfe6a-ce1a-4096-84dc-be09b32b8567,38.87203255905634,1.3084716333709348,4G,875,875,0.79,"LINESTRING (1.308331692 38.86416215, 1.3084716333709348 38.87203255905634)",1f80e199-c0dd-4090-944a-d857d689ee0f,38.8721881823533,1.3262742986742686,3G,1792,1792,60.12,"LINESTRING (1.308331692 38.86416215, 1.3262742986742686 38.8721881823533)",,,,,,,,
2f4c020c-6569-4220-9152-d47361213edb,True,3,559811e1-d2d0-4767-a412-8e09f61a6d25,39.02665171598812,1.4823062425817826,4G,744,744,289.76,"LINESTRING (1.490407817 39.02439169, 1.4823062425817826 39.02665171598812)",194a1da5-5c5b-40ab-8529-3896e18d32af,39.03803633637922,1.49836627499455,3G,1666,1666,24.37,"LINESTRING (1.490407817 39.02439169, 1.49836627499455 39.03803633637922)",57698fd5-3769-41e9-b2e8-085aefd88b66,39.03032780100048,1.5070701846770564,3G,1583,1583,65.36,"LINESTRING (1.490407817 39.02439169, 1.5070701846770564 39.03032780100048)"
dd214ea7-eb13-4400-907b-b4f9c320b1ae,True,3,166dd518-eb60-49fa-bcf3-d53b8a932de9,38.95213926562389,1.297525476891083,3G,484,484,118.53,"LINESTRING (1.29261 38.95421761, 1.297525476891083 38.95213926562389)",1fd92561-71d6-4f82-a50b-314eaeb2bb3a,38.96533694633572,1.2994456145350086,4G,1370,1372,25.55,"LINESTRING (1.29261 38.95421761, 1.2994456145350086 38.96533694633572)",0b7e128c-f459-4d22-815f-0e5edbf9bf06,38.968846448477805,1.2920899576282965,3G,1627,1629,358.42,"LINESTRING (1.29261 38.95421761, 1.2920899576282965 38.968846448477805)"
34cb2c0a-8709-4603-afe6-76f630165788,True,2,1f80e199-c0dd-4090-944a-d857d689ee0f,38.8721881823533,1.3262742986742686,3G,4277,4278,130.28,"LINESTRING (1.288587958 38.89706249, 1.3262742986742686 38.8721881823533)",5ef608e3-60c4-4894-8ac2-57ab0d0e55c9,38.85081993416053,1.3755994038329078,4G,9120,9121,124.29,"LINESTRING (1.288587958 38.89706249, 1.3755994038329078 38.85081993416053)",,,,,,,,
2e783986-86c8-40c6-905c-837d9112f4f7,True,3,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,38.97435594411141,1.3678924622333437,4G,814,814,62.43,"LINESTRING (1.359549418 38.97096944, 1.3678924622333437 38.97435594411141)",786cabc6-e800-409d-931f-fe3d1e33b522,38.97274207311786,1.3727026472159556,4G,1154,1154,80.16,"LINESTRING (1.359549418 38.97096944, 1.3727026472159556 38.97274207311786)",82e53aaa-57c5-4437-898c-3c8d5c2e8336,38.98448764654776,1.3478684724215728,3G,1811,1811,326.11,"LINESTRING (1.359549418 38.97096944, 1.3478684724215728 38.98448764654776)"
c571aaff-74e9-41d4-8e51-e0aab8fffe1f,True,3,9c3f9c22-3cdb-41ce-8c9d-f52ce96c4daa,38.9548935512878,1.318550784344911,4G,535,538,149.99,"LINESTRING (1.315454383 38.95906283, 1.318550784344911 38.9548935512878)",1fd92561-71d6-4f82-a50b-314eaeb2bb3a,38.96533694633572,1.2994456145350086,4G,1550,1550,296.75,"LINESTRING (1.315454383 38.95906283, 1.2994456145350086 38.96533694633572)",513c3ccb-6937-45ba-8f49-e8b7bb12423a,38.941873273730245,1.3196026159899563,4G,1945,1947,169.37,"LINESTRING (1.315454383 38.95906283, 1.3196026159899563 38.941873273730245)"
e8fc47f3-4cc1-4e0e-8483-095a08f064e0,True,3,9c3f9c22-3cdb-41ce-8c9d-f52ce96c4daa,38.9548935512878,1.318550784344911,4G,1395,1396,198.99,"LINESTRING (1.323798873 38.96675571, 1.318550784344911 38.9548935512878)",487da0fa-b139-470b-9062-fc769b2808f4,38.98025891997847,1.309286074952894,3G,1957,1957,320.12,"LINESTRING (1.323798873 38.96675571, 1.309286074952894 38.98025891997847)",c39c4afa-010e-41da-a1c4-020fe349c7a3,38.98694453062616,1.3172790345037946,4G,2315,2315,345.91,"LINESTRING (1.323798873 38.96675571, 1.3172790345037946 38.98694453062616)"
b32e5cdd-cc23-4748-9c61-c62201237bf6,False,0,,,,,,,,,,,,,,,,,,,,,,,,
7e7edbb0-41db-4dda-b507-37cb0493d1fa,True,2,e7356954-eb7e-444d-adde-ea48e0e81129,39.04085669495776,1.593396738478233,3G,1523,1523,136.1,"LINESTRING (1.581172796 39.05072478, 1.593396738478233 39.04085669495776)",a2f0e1d1-0db2-40ba-adb9-c59a1b1fbc8f,39.075115914928745,1.6033916796911398,4G,3322,3322,35.26,"LINESTRING (1.581172796 39.05072478, 1.6033916796911398 39.075115914928745)",,,,,,,,
9be3e912-c023-4888-847f-f74ab5085a94,True,3,54f7a596-d5a1-4031-84c5-5d4b61b7cbca,38.857298141284986,1.384545701871246,4G,1319,1321,290.54,"LINESTRING (1.398807221 38.85313758, 1.384545701871246 38.857298141284986)",b8f4d0b2-ca90-446a-804e-9b30410c4533,38.86438666461446,1.370604464141267,4G,2744,2745,297.13,"LINESTRING (1.398807221 38.85313758, 1.370604464141267 38.86438666461446)",f448eb06-a5b3-4343-859c-5a2d27ffe253,38.879183893491856,1.3476573236181475,3G,5291,5292,303.2,"LINESTRING (1.398807221 38.85313758, 1.3476573236181475 38.879183893491856)"
