poi_id,ict_id,ground_distance,order
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,1dd90c1d-0d75-418a-a917-ce7bb138c9c9,5619,2
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,1f80e199-c0dd-4090-944a-d857d689ee0f,5656,3
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,b73da8f1-6805-465c-813c-48d491331849,1198,1
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,23131082-f9bf-4ab5-91b3-23111c4bf241,1643,2
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,0222b6a7-350c-46b2-95fd-a3e1c61ee847,1853,3
249cd328-89bc-4d29-a98f-1c733aae4201,82e53aaa-57c5-4437-898c-3c8d5c2e8336,512,1
249cd328-89bc-4d29-a98f-1c733aae4201,9429f910-1d6b-4e52-8bb4-6f331d21e7ee,1519,2
249cd328-89bc-4d29-a98f-1c733aae4201,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,1646,3
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,1352,1
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,786cabc6-e800-409d-931f-fe3d1e33b522,1506,2
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,82e53aaa-57c5-4437-898c-3c8d5c2e8336,2442,3
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,5e5a6033-d6d3-452d-870a-2f2b95388811,538,1
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,dcd0ccdd-5496-41bc-bf1f-94f983a16853,760,2
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,cf18352b-f1f9-47e4-877a-8cc1b7cca651,1651,3
c961624c-546e-4375-8360-6d75bc188022,,,1
1914138c-459b-4d5d-8aff-23f1aca8965c,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,412,1
1914138c-459b-4d5d-8aff-23f1aca8965c,67e2292b-3bf5-4de7-b734-38b4ad706039,664,2
1914138c-459b-4d5d-8aff-23f1aca8965c,23131082-f9bf-4ab5-91b3-23111c4bf241,2100,3
ef6eb534-04e9-4265-bc5b-1543f3452634,86818972-6723-46e5-9916-af01c2be5383,1213,3
ef6eb534-04e9-4265-bc5b-1543f3452634,a4c3eba3-efee-4b4a-86aa-08e76a013113,1198,2
ef6eb534-04e9-4265-bc5b-1543f3452634,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,1196,1
304e1e26-439a-45fb-8837-9a38fdc6ec41,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,1802,1
304e1e26-439a-45fb-8837-9a38fdc6ec41,d3943d1d-2fd9-4e0e-82b3-e0d977692844,1915,2
304e1e26-439a-45fb-8837-9a38fdc6ec41,67e2292b-3bf5-4de7-b734-38b4ad706039,3316,3
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,e7356954-eb7e-444d-adde-ea48e0e81129,2330,1
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,a2f0e1d1-0db2-40ba-adb9-c59a1b1fbc8f,4679,2
955bca73-4483-45af-ae38-adddd0751bf7,0222b6a7-350c-46b2-95fd-a3e1c61ee847,551,1
955bca73-4483-45af-ae38-adddd0751bf7,23131082-f9bf-4ab5-91b3-23111c4bf241,1156,2
955bca73-4483-45af-ae38-adddd0751bf7,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,2532,3
5529ea39-d40f-4c80-a308-07fe2fb85cfa,22d699dd-ade7-497f-9730-432fa3700c46,1160,1
5529ea39-d40f-4c80-a308-07fe2fb85cfa,a4c3eba3-efee-4b4a-86aa-08e76a013113,3248,2
5529ea39-d40f-4c80-a308-07fe2fb85cfa,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,3387,3
7a4e4050-b3db-43ab-b487-a7df597ea8ce,dcd0ccdd-5496-41bc-bf1f-94f983a16853,254,1
7a4e4050-b3db-43ab-b487-a7df597ea8ce,cf18352b-f1f9-47e4-877a-8cc1b7cca651,2377,2
7a4e4050-b3db-43ab-b487-a7df597ea8ce,786cabc6-e800-409d-931f-fe3d1e33b522,2487,3
386b10fd-d902-4f9a-aa89-70120f982487,23131082-f9bf-4ab5-91b3-23111c4bf241,3784,1
386b10fd-d902-4f9a-aa89-70120f982487,0222b6a7-350c-46b2-95fd-a3e1c61ee847,4212,3
386b10fd-d902-4f9a-aa89-70120f982487,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,4189,2
1332292e-3d0f-4aa3-bf72-1a22752dea15,d06017e7-a685-4ad1-be7e-2222dabec53e,128,1
1332292e-3d0f-4aa3-bf72-1a22752dea15,2fb90cc1-38d3-4aa7-951c-b9a823a63822,5427,2
1332292e-3d0f-4aa3-bf72-1a22752dea15,6bcfa4f5-5adb-4667-9789-73b22a9a1af9,11664,3
79f29263-c10b-4508-bd87-ad42c04be0d4,a4602e2e-5ce7-4aec-904e-dd17dfc266df,7015,1
79f29263-c10b-4508-bd87-ad42c04be0d4,a86e67e6-a035-4c91-a5e0-38ff2e106b7c,7276,2
79f29263-c10b-4508-bd87-ad42c04be0d4,40e67918-f75f-4a0f-970b-424a85a7859a,8732,3
a877cb39-2290-48c3-b6a6-0f4feaf0146a,4ea23bde-9f03-4e96-871d-59276323e1c2,1254,1
a877cb39-2290-48c3-b6a6-0f4feaf0146a,ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,1649,2
a877cb39-2290-48c3-b6a6-0f4feaf0146a,0334328f-7fcf-4c40-8570-8a2587488d22,1898,3
1f8a8a01-714b-40f2-b55d-fbcb916dd75f,4de24eb6-f9ad-4f93-95ea-d39d19d57de0,5802,1
2b2ca058-e2b5-4ce2-a075-c3075f9027ef,,,1
40a28229-3dbf-4f08-a516-3f46680a2e55,8a4cfe6a-ce1a-4096-84dc-be09b32b8567,875,1
40a28229-3dbf-4f08-a516-3f46680a2e55,1f80e199-c0dd-4090-944a-d857d689ee0f,1792,2
2f4c020c-6569-4220-9152-d47361213edb,559811e1-d2d0-4767-a412-8e09f61a6d25,744,1
2f4c020c-6569-4220-9152-d47361213edb,194a1da5-5c5b-40ab-8529-3896e18d32af,1666,3
2f4c020c-6569-4220-9152-d47361213edb,57698fd5-3769-41e9-b2e8-085aefd88b66,1583,2
dd214ea7-eb13-4400-907b-b4f9c320b1ae,166dd518-eb60-49fa-bcf3-d53b8a932de9,484,1
dd214ea7-eb13-4400-907b-b4f9c320b1ae,1fd92561-71d6-4f82-a50b-314eaeb2bb3a,1370,2
